English,Chinese
"Reasonably, you are able to employ the most suitable option based on the respective application scenario.",所以在不同应用场景底下可以选择不同的方案。
The other factor related to the text-to-speech is personalization.,另外一个是关于语音合成的设计呢，就是考虑个性化。
Existing robots are not allowed to change their tone. How intriguing it would be if the robot could help tell stories to kids by imitating the tones of the father or mother.,比如说我在家里要给孩子讲故事，现在机器人都是用一个通用的声音来讲，但如果能变成妈妈或者爸爸的声音来讲，那就会有趣的多。
"When you receive a message, it may be more fascinating if the robot could read loud the message in a tone similar to that of the sender.",或者说当你收到一个短信，你需要用语音报出来，如果你能用给你发短信的人的声音报出来，它也会比更有意思一些。
What can we do to make it a reality?,那怎么做到这个呢？
Self-adaptive technology is a necessity.,我们就说我们需要用到一些自适应的技术。
"Once receiving the voice of your mother, we will set out the self-adaptive mode to imitate it.",如果我们拿到妈妈的语音，然后对她的声音进行自适应这个模型自适应。
So that the speech synthesized sounds more like your mother's.,呃你可能做的跟妈妈的声音更像。
Current text-to-speech entails speeches with minimum noises.,但是由于现在当前的啊语音合成。
Most speeches in this technology are recored in recording studios.,它要求的这个输入语音更多的是要求都是比较干净。
"Under the existing algorithm, the text-to-speech may not guarantee a good performacne all the time if the speech is recorded at home.",在录音棚里录出来的，所以说在家庭环境底下录的音可能会稍有欠缺，在当前算法底下，它性能有时候不是特别的好。
What should we do to deal with that?,那怎么办呢？
This is something to be considered during application design.,我们可能在应用设计上需要去考虑这个事情。
"The first step is the selection of basic models, we can build different models.",第一个事情是说基础模型的选择，我们可以做一些不同类型的基础模型。
We can create multiple basic models appropriate to female and male from different areas.,比方说男生的、女生的或不同地域的。
"If the voice sounds like the mother's, a corresponding basic model may be selected for self adaptation, so as to optimize text-to-speech.",那声音本身就跟妈妈可能比较像，选择好的这个基础模型，在这个基础上进行自适应，可能效果会更好一些。
The other solution lies in how to efficiently collect voice data for training.,另外一个我们要考虑怎么更有效地去收集训练语料。
"For example, when someone is texting you, you may have already kept his or her speeches in voice chats or voice calls.",比如说当别人给你发信息的时候，有可能同一个人他可能会给你有一些语音聊天、语音电话。
So will those speech data be collected for training?,这些数据是不是能收集起来，可以用于训练？
We should also try to simplify the work of our users.,还有在应用设计的时候，我们应该降低用户的配合难度。
What does it mean?,这什么意思呢？
Users may not cooperate well with us if they are asked to record a long speech at the beginning.,比如如果我上来就让用户录很长很长的语音，用户看不到效果，他也许就不这么配合。
"But if we select a basic model first to show them the performance of our technology, users will be much more willing to cooperate with us by recording their speeches.",但如果你先选好了基础模型，给他一些效果看，然后让他适量地录一些，看到效果以后用户可能就会更多地配合你来录音。
Sometimes you are also able to record the voice from a mother who is telling stories to children for training purposes.,甚至说妈妈在给孩子讲故事的同时，你可以把这个声音收集下来，将来用于训练。
Better cooperation may be obtained if the user is not intentionally recording for you.,这样他就不是专门为你录音，所以这个就配合度就高多了。
"In conclusion, there are 3 aspects about text-to-speech being elaborated in this video.",那我们对语音合成进行总结的话呢，我们说主要包括三个方面。
The first aspect is to select a suitable synthesis method from the customer-based formant synthesis and server-based concatenative synthesis.,第一个方面是根据一定的需求选择不同的合成方案，是基于客户端的参数合成方案，还是基于服务器端的拼接合成方案。
"Emphasis on personalized scenarios is the second aspect. For instance, speeches can been obtained from scenarios where parents are telling their kids stories.",第二个呢我们要重视一些个性化的场景，比如说家庭里面的用父母的声音给孩子讲故事。
Speeches collected from your phone calls or text messages can also be used.,用来电的人、发短信的人的声音来给你报号码，报短信内容。
We will also endeavor to simplify the cooperation of users via application design.,同时呢我们通过应用设计来降低这个配合难度。
"While reviewing the ASR, we have also gone through 3 new technologies: voice wake-up, voiceprint verification and text-to-speech.",今天呢我们就主要讲介绍了回顾了语音识别，又介绍三种新技术：语音唤醒、声纹确认和语音合成。
"We discussed a lot about application scenarios, workflows and some special tips of those technologies.",我们主要介绍它们的应用场景和应用流程，以及要注意的事项。
"For more details, you can contact us through the following ways.",如果你想了解更多，也可以通过下面的方式联系我们。
I've wished I could walk onto the stage like a model.,其实我今天最想的是踏着猫步走上这个舞台。
"But finally I had to be wheeled up here, and see a world almost one meter lower than I wished for. ",嗯，但是呢，实际上我只能带着我这部轮椅走上来，而且我的视线要低于近乎一米，
That is indeed a regret. ,这确实是有一些遗憾的吧。
"When I was a little girl, I used to care a lot about how I looked. ",嗯我这人哪从小就特别喜欢爱漂亮。
Every mirror I passed could testify that.,凡是啊看到嗯镜子总是不容错过的。
"Not merely mirrors, but anything that can reflect, would make me stay.",不只是镜子，而且是甚至一到了在路面上看到那些反光的地方，我都要流连不已。
I loved dressing up and enjoyed being the center of attention. And I was very sensitive.,我从小就喜欢爱打扮，爱受关注，而且很敏感。
"The performances on the stage, with dry-ice fog and spotlights all around them, would always exhilarate me.",我凡是看到舞台上那些表演的人，那些干冰的烟雾和追光灯我总会激动不已。
 I felt as if I myself were the elf in the spotlight.,好像那个精灵就是我自己。
"What a great thing it would be, I remember I was thinking, to grab people's attention and be adored.",我想哦能让万众瞩目、凝神屏气，是天下最令人陶醉的事了。
"Then two little incidents befell me as a young girl, leaving me some regrets.",当然当时比较小的我，也发生了两件小小的遗憾。
Both were related to the stage.,这两件事都和我的舞台有关。
One incident happened when I was twelve.,有一件事是发生在我十二岁的时候。
"We, our class, were rehearsing a dance named ""A Little Girl Who Is Beachcombing"", for a new-year celebration on the campus. ",那时候我们班级里排练舞蹈《赶海的小姑娘》，参加全校的新年演出，
And I was in the performance team.,我就是表演团队中的一员。
"But one day during the rehearsal, I suddenly found that I could not squat completely down.",在排练的时候啊，我忽然发现我的腿没有办法全部蹲下去了。
And things were soon getting worse. ,而且情况越来越严重。
"Whatever effort I made to rectify, I just couldn't do it. ",我随便怎么调整都没有办法。
Then the teacher saw it. ,然后啊我老师就发现了。
"She tried to help correct my posture, but failed. ",她也帮我纠正了很多回，都没有效果。
"And for the sake of the whole class, I had to be discharged.",最后啊为了顾全大局，我被淘汰了。
"The performance turned out to be a hit, winning a thundering applause.",那天的演出非常精彩，掌声雷动。
"My classmates stood bashfully on the stage, answering their curtain call, while I hid myself in the smothering crowds off the stage, and clapped mechanically.",台上的舞蹈者就是我的同学们，就在羞涩地谢幕的时候，我就躲在黑压压的观众席中，木然地跟着大家一起鼓掌。
Another thing happened when I was seventeen.,还有一件事，是发生在我十七岁的时候。
There was an English sketch comedy competition in our school.,那个时候我们全校去组织一场英语小品表演赛。
Our class planned to act out Maupassant's work The Necklace. ,那个时候我班的参赛作品是莫泊桑的《项链》。
And I was chosen to audition for the heroine—the vain but lovely and honest Madame Mathilde Loisel.,我分配到的角色是嗯那位女主角，就是那个虚荣可爱又诚信的玛蒂尔德。
Each student would have their chance in the preliminary selection.,每个同学都有机会参加初赛。
"When the selection began, I thought I did a great job. ",我觉得我发挥得很出色啊。
"I even imagined myself as Isabelle Adjani, my favorite French actress.",当时我觉得我就在想，我像我当年最喜欢的那个法国女演员伊莎贝尔·阿佳妮那样地在演出。
"There were two judges: the representative of English lesson in our class, and our English teacher. ",评委有两个，英语课代表和老师。
"The representative chose me, but our English teacher just looked at me and said, ""Oh Ding Ming? Forget about it.""",课代表选了我，老师看了我一眼她就说：“哦，丁铭啊，算了吧。”
"There was a reason, for I had already begun to wobble when I walked, though I had not used a wheelchair, like now. ",因为那个时候，我尽管不像现在坐在轮椅上，但是走起路来已经摇摇摆摆。
The teacher might think I would spoil the whole appearance of the class during the performance.,老师觉得我的形象有损于班级的那种表演面貌。
And of course she was right.,她当然是对的咯。
How can the beautiful Mathilde be played by someone who limps?,美丽的玛蒂尔德怎么可能是个跛子呢？
My dream of becoming a performer was thus killed by my illness. ,所以就当时的舞台梦想就被一种病情给扼杀了。
An illness which later revealed itself as amyotrophic lateral sclerosis.,我当时，后来渐渐地知道了，我得的是那种叫做渐冻人的病症。
It stripped me of the ability to move at my will and to breathe with ease.,它就是能够让我不能够自由地行动，不能轻松地呼吸。
"Within a short time, the things I couldn't hold tightly extended from a basin of water, to a bowl, a telephone and even a cup.",在一个很短暂的时间段里，我的两只手啊从握不起一盆水，到饭碗、电话机、杯子。
"Regrets kept coming unsolicited, for example, when I was wringing out a wet towel, I was supposed to use both hands. ",遗憾不断地产生，就比如说我在搅毛巾的时候，我本来可以两只手一起搅毛巾的。
"But since I had to hold the table for balance, I could spare only one hand for the job.",但是我后来只能一只手，因为另一只手，要扶着桌子保持身体的平衡。
Such regrets went on and on in my life.,那生活中的遗憾就越来越多了。
"At that time I told myself that, it'd be ok if I couldn't become a performer. ",那时候那个舞台的梦想没有实现以后我就在想，我不能上台表演了，没关系啊。
I could make myself a loyal spectator instead.,我可以做一个纯粹的观众。
"Years ago I had a chance to watch Mr. Zhang Jun's exquisite performance as Liu Mengmei, the hero in Tang Xianzu's play ""The Peony Pavilion"".",我曾经在几年前，也在天蟾舞台听过我们张军先生，在表演的那位风神潇洒的柳梦梅。
I had a very good time there off the stage watching it. ,那个时候我在下面，就欣赏得很到位。
"That, I think, might count as a psychic compensation for me.",我就在想这也是对我心灵的一种弥补。
"As time went on, I felt that regrets just came endlessly one after another.",嗯渐渐的我发现啊，其实随着我呃年龄的增长，那遗憾呢一点点它冒了出来，而且越来越多。
"I remember a colleague of mine once joked, ""You've got a most powerful green pass: the disability certificate issued by the People's Republic of China. And you should know that sometimes it is even better at helping you get your own way than an elite university's doctor's degree.""",嗯记得我的同事曾经对我开玩笑说，他说：“哦你哦有一张最牛的绿Pass，这张Pass就是中华人民共和国颁发的残疾证，要知道啊它比任何名牌大学的博士文凭，它有时候还要管用呢。”
That might be true.,我想一想也有可能。
"But for a person like me who always cherishes dreams, the missing diploma is somehow a constant pain.",但是啊学历的缺失对于一个心有追求的人来说，应该是有点苦涩的。
"I remember the first time I encountered a university was when I went to a Qigong presentation, which was supposed to work for my illness, in an auditorium of a university.",我记得我第一次与大学的交集，是去听一场对我治疗有用的气功报告会，在一所大学的礼堂。
It was a quiet night. ,那是一个很宁静的夜晚。
"On my arrival I was greeted with the aroma of foliage, the street lamps, and the light filtering through the windows of the teaching buildings, all feeling beautifully like knowledge.",我就走进校园里，就看到那种草木的清香，还有那种路灯，还有教学楼里发出来的灯光，有一种沁人心脾的书卷气。
All seemed to be summoning a soul that had once missed out on a university—me.,这种书卷气好像在召唤一个学海遗漏的惊魂，就是我。
It remained a pity that I had never become a member of a university.,但是我没有资格成为其中的一员，这是有点遗憾。
But I soon found a way to make up for it—to learn on my own.,但是我又找到一种弥补这个遗憾的方法，就是我自学啊。
"If there was no teacher, no vibe, it wouldn't matter. I would create a vibe by myself.",没关系啊，没老师教，没有大学的氛围，我自己给自己营造一个氛围啊。
Then I threw myself into industrious reading. ,我就手不释卷地在阅读。
"It was easy then, not like today,",当然也是以前的那个时代，不是像现在啦。
when internet might rob us of attention on reading.,因为现在有了网络，可能没有像以前那么专注地去读书了。
For a long time after that I just kept reading and reading.,那个时候我就很长一段时间段里，我就一直在看书，不停地看书。
"I found strength in the books, and became more outgoing. ",渐渐着我在书籍的滋养中我寄托着我自己的一切，而且我变得开朗了。
Books gave me both internal and external nutrition.,变得有一种内外兼修的一种体验。
"A few years ago, my book written based on my own experience, 270,000 characters in length, was published. It was finished within ten months. ",嗯，我曾在几年前出版过一本，以自己成长故事写过的一本书，是27万字的，在十个月之内完成了。
"Without years of experience of reading, I would never have been able to complete the book.",我想如果没有之前十几年的那种阅读的积累，是不可能完成的。
So regrets somehow can also lead to something good.,所以你说遗憾在某种程度上，也造就了一个另外一种状态。
"There is another regret, which occurred later, that I want to talk about.",然后后来有又有一件遗憾。
I was already over twenty years old. ,因为那个时候我到二十几岁的时候嘛。
"Young girls that age always have some romantic pursuits, but in that respect my life was completely blank. ",女孩子无论谁哦都是有一些情感的追求的，但是对于我来说这是一片空白的。
"I remember hearing a girl born in 1989 moan a few days ago, ""Gosh, I am such a left-over woman.""",前一阵子我曾经听一个八九年的女孩子，她说：“哎呦！我已经是剩女了。”
"And I thought, you were born in 1989 and you are already a left-over woman, then where should I—a woman born in 1976—go?",我想你1989年出生的人是剩女了，那你让我一个1976年出生的人情何以堪啊！
"You can understand that, right?",对吧，那个时候我就在想。
"Later I read some articles on the newspaper, which even placed unmarried women into downgrading categories, and each category was mockingly named. ",后来又看到报纸上，有好多什么关于剩女的那些某一种级别，什么黄金剩斗士、斗战剩佛啊，
"I felt bad for myself, for this year is my year of birth and I almost had turned 37.",哎呦我想哦，我现在，今年是我的本命年，我已经是第三个本命年了，虚岁37岁。
"According to their standards, I must be the most pitiable left-over woman, ha-ha-ha.",然后我就在想，哎呦我已经剩到天山童姥的地步啦，哈哈哈。
"So sometimes I will feel a little disturbed, and also lonely.",所以现在又在想，哎呀，这个是不是有时候也挺纠结的，觉得是有一种孤单。
But the plus side of my single life is that I share a strong bond with my parents. ,但是好在，尽管这样子，但是我可以更加完整地生活在我父母的周围。
"I can feel their love for me, and also make them happy. ",我会感受我父母对我的一种关怀，而且我可以承欢膝下。
"Speaking of ""making parents happy"", I feel relieved to find my father absent today, for if he hears this phrase, he must be gripped by bitter memories.",但说到这四个字“承欢膝下”，幸好我父亲今天不在会场上，不然他听到这四个字的时候，他肯定很纠结、很苦涩。
"I was really such a trouble for him, for I was terribly headstrong.",因为我实在给他添了很多很多麻烦，我非常非常的任性啊平时。
"Speaking of my parents, there is one thing I feel especially sorry about: I lack patience with them. ",不过说到父母哦，其实有一点遗憾就是，我平时对我父母是缺乏一点耐心的。
And there is another thing I feel more ashamed about: I often ignore what they do for me.,而且有个最大的遗憾就是，我经常忽视了我父母对自己的付出。
Parental love must be the most touching of all affections.,父母的爱应该是世界上最令人感动的。
Take my father for example.,就拿我父亲来说吧。
Nine years ago he had a kidney removed because of cancer. ,在九年前他因为身患癌症被切除了一只肾脏。
"I still remember that wintry night, when he had just had his operation, I was being wheeled home by an hourly worker.",我记得有一个冬天的傍晚，就是他刚开完刀的时候，我被钟点工推着轮椅回家。
And suddenly I saw an old man wrapped in a down jacket walking up and down before the two iron gates of our community. ,那时候我看到我们家小区门口的两扇铁门的地方，有一个穿着羽绒服的老人在徘徊。
It was my father.,哎呦，原来是我爸爸。
"I asked him, in a blunt manner, ""What are you doing here?""",那个时我还对他不是很礼貌，我说：“哎，我说你这样下来做什么啊？“
"And he said, ""I came down to fetch you home"", with a shy, expecting smile.",然后他就对我说，他说：“我下来等你回家。” 他的笑容中有一种腼腆和期待。
"A lump suddenly came into my throat, for not long before this, his emotional turbulence caused by male menopause had been causing a lot of trouble in the house.",那个时候我的鼻子忽然很酸，因为之前不久，他正好遇上更年期，情绪的动荡给家里带来了很多麻烦。
I had felt that he failed me. ,那时候我觉得我很反感他。
"He was totally not the talented, omnipotent father in my memory.",觉得他完全不是我小时候的眼睛里那个具有才华的、无所不能的父亲了。
"Yet on such a wintry night, this man, completely ignoring the doctor's instructions for him to rest in bed, chose to stand in the icy wind, awaiting his defying, conceited daughter, like an old bird longing for the return of its kids.",但是在一个冬天的傍晚，被医生再三嘱咐过要卧床休息的他，却站在楼下的寒风里等待那个每天与他顶撞的、自命不凡的女儿回家，就像等待倦鸟归巢。
"And I won't forget my mother, who pays me all her attention to discern my feelings, endure my tantrums, and satisfy all my needs, however challenging they are.",还有我的母亲，她用一万个心眼，来观察我的喜怒哀乐，承受我的情绪动荡，满足我的种种苛求。
"I still remember once, about a dozen years ago, I terribly wanted a set of the collected works of Charles Dickens.",我记得在十几年前吧，我想要一套狄更斯文集。
And of course it was not for showing off. I really wanted to read the books.,当然我真要看，不是装逼的那种啊。
"But the bookstore had already sold out all the copies, and there was not an online store to turn to. That was a dozen years ago, you should know.",然后那那那个时候书店里已经没有货了，而且也没有网上购书的，十几年前嘛。
"Then my mother decided to buy the books from the publisher, which was very far away from our house.",我母亲就到出版社去买，离家里很远很远。
"On her way back, she found that the large box containing 19 volumes of Charles Dickens was impossible to carry. ",她实在是挪不动那只大箱子，包着十九卷狄更斯文集的大箱子。
"So she placed the box down on the ground, kicked it, and thus moved it inch by inch, until she got home.",她就把那只箱子放在地上，用脚一点点一点点踢着挪回家去，就是这样子。
"But she told me nothing about it, until several years later, during a TV interview, when the host asked about my habit of reading, she revealed the truth, in a light-hearted and humorous tone.",而且她回来以后什么都没有跟我说，直到在很多年之后我在接受一次电视台的访谈节目，嗯主持人问起我的阅读习惯，她才说了出来，用一种很清淡的幽默的语调。
It was at that moment that I finally realized that parents were the most important part of my life.,那个时候我才意识到了，其实父母才是自己生命当中最重要的。
"I was also thinking that, though I couldn't live my life like a normal person, I still could light up my world with my heart and create wonders that only belong to me.",我还在想，也许哦，我缺乏体验普通人那种惯常的生命历程，但是我可以心用心来温暖自己的世界，成就我的海阔天空。
Regrets are always about loss. ,提到遗憾，遗憾总是与缺失有关。
"However, a truly mature soul should be philosophical about anything he or she owns or loses, and thus feel no regrets.",然而一颗真正成熟的心灵，对于所缺失的以及拥有的任何事物，都应该是通透而无憾的。
"The other day I was staying with some friends. We talked about family background, appearance and wisdom.",就拿最近吧，我和几个朋友在跟我讨论有关于家境、容貌和智慧的话题。
"The three aspects, I guess, are the major causes of regrets for the ordinary people, particularly women.",这三点我想对于普通人，尤其是女性来说，应该是产生遗憾的莫大因素。
"One friend complained to me that she envied those who had high-ranking officials, rich men, stars or any luminaries as parents, for her own parents were really mediocre and could not give her good resources. ",我有一个朋友很痛苦地对我说，她说现代啊都是富二代、官二代、星二代、某二代，她说父母很平庸，她说她只能够没有很好的资源可以辅助她。
"While others had got head starts, she could only trudge her way far behind. ",比如说，别人是从半山腰开始攀登的，而她是用从山底下开始爬的。
"And I said, ""Yours is not so bad actually. Just think, some people might have to climb out of a mountain cave, and some might never have a chance to leave their cellar.""",我说：“你已经挺好了，你要知道嘛，有的人还从山洞里爬出来呢，有的人从地窖里还爬不出来呢。”
What I meant was the sense of satisfaction.,然后这就是一种知足。
"Another friend believed that she looked too plain, and she admired the life of those beautiful ones. ",还有朋友觉得她长得容貌平常，她很羡慕那些具有一副好皮囊的人。
I told her that appearance was actually not so important.,然后我就对她说，其实也没有什么很大的那种关系。
There were also friends who told me their regrets and complaints about not having this or that.,还有一些朋友他经常在遗憾，他没拥有这个没有拥有那个，然后有还还在抱怨。
"Here I'd like to share with you a passage I saw once reposted on the TnDao forum, which approximately denotes that those ascribing their failure to attain or create excellent works to the restraining systems, could not, even if situated in Swiss, liberate their souls.",那么我就在想，我也想跟大家分享一段话，就是我之前在我们《听道》论坛上，我看到的一段转发的一段话。它这句话的大意就是说，那些抱怨着自己在这个体制的捆绑下，没有得到过、创作过优秀作品的人，他就是到了瑞士也没有办法得到灵魂的自由。
"Those blaming marriage for binding them and killing their dreams, could not, even when they are single, become Madame Curie. ",那些埋怨着婚姻束缚着她的理想，磨灭了她的理想状态的人，她就是独身她也成不了居里夫人。
That's it. ,就是这样。
"We are all living in the same age, where hardships and regrets are never uncommon.",我们都是生活在这个时代的当口，我每个人都面临过不少磨难，不少遗憾。
"But when looking out of the window at the world outside, some see the mirror, some see the beautiful scenery beyond, and some only see the darkness lurking there.",但是有的人，我们趴在窗口看这外面的世界，有的人看到的是镜子，有的人看到的是美丽的风景，有个人只是觉得伸手漆黑不见五指。
It is the same with regrets.,遗憾就是如此。
I recall something funny that happened on the bus when I was a kid. And here I'm happy to share it with you.,我又在想我小时候吧，嗯曾经在公交车上发生过一件糗事，这个事情还可以跟大家说一说。
"I was eating a hot, big and tasty Baozi on the bus.",那个时候啊，我正好在公交车上吃一只热腾腾的、大大的、香喷喷的肉包子。
My routine of eating Baozi then was always to leave the best part to the last moment. ,我这人从小有个习惯，就是吃肉包子的时候喜欢把最好的东西留给最后一口。
Can you understand? ,你们知道是什么意思吗？
I mean I would usually eat the skin first and leave the filling inside intact.,就是我光啃着包子的皮，我就舍不得咬那只肉馅儿。
"So I was eating my Baozi, watching the skin gradually peeling off, as I sat there smugly looking at the scenery outside.",我一边啃着包子皮，一边得意洋洋地看着窗外的风景，一层一层地朝后退去。
"The meat filling inside the Baozi was emerging, bigger and bigger in size. I was full of expectation and tried to handle the last bit of skin with care.",这个时候啊，包子的肉馅就露了出来，越来越大，我心里充满着期待，我小心翼翼地转动着包子的皮。
"The holy, crowning moment is coming, I told myself, and be prepared for an extreme satisfaction.",我就在想，马上我就有一种极致的享受啦，神圣的时刻即将到来了。
The bus suddenly stopped short.,急这个时候忽然来了一个急刹车。
The bus driver must be a big bully. ,哦这个司机哦，欺负小孩儿啊。
You should know I was only five or six years old then.,那个时候我才五六岁。
"Then the meat filling of my Baozi just shot away like a ping-pong ball, rolling on the ground for a while and got coated with dust.",我手中的那个包子的肉馅儿就像乒乓球一样地弹出来，然后在地上打了几个滚，沾满了灰尘。
"That wrenched an exclamation out of me, ""Oops! Such a big regret!""",这个时候我就忽然冒出一句话，“哎呦，哪能噶遗憾的啦！”
Passengers on the bus were startled. ,公交车上的其他乘客都吓了。
"They never thought a five-or-six-year-old could use the word ""regret"". ",他们没有想到一个小孩儿，五六岁的学龄前儿童会使用“遗憾”这个词语。
That was also the first time I used the word myself. ,这也是我人生第一次使用“遗憾”。
"Now when I recall this funny experience, I am thinking that, maybe my life looks just like the skin of a Baozi. But that never means it is not a Baozi.",那个时候我就在想，我现在又在回忆起以前的这件糗事，我就在想，其实我的人生也许就是一个包子皮的人生，但是不代表，我性格不包子啊。
Though I indeed missed the meat filling.,哼，我虽然没有吃到过这包子的肉馅。
Regrets are just like that meat filling. What does that mean?,遗憾其实就是我们包子的肉馅儿，怎么解释呢？
"The meat filling symbolizes the regrets and the things implied by the regrets. Though by a stroke of bad luck I couldn't taste the meat filling, but I had already smelled it when I was eating the skin, and tasted it when I was sucking in the meat gravy.",这包子肉馅代表遗憾，以及遗憾所象征的那个事物，我虽然没有最后品尝它，因为一个意外被失去了，但是我在吃包子皮的时候，我已经尝到了肉馅的香气，我在吮吸肉汁的时候，我已经尝到了、感受到了肉馅的鲜美。
"I wonder whether the meat filling, if I really relished it as I intended to, could have given me more satisfaction.",肉馅如果我真的去最后去享用了它，也许也不过如此吧。
So it is with our life. ,我们人生的目的也就是这样。
The process and experience of living might be the most valuable part.,也许那个过程、这个体验更让人觉得珍贵。
There was a bright side in my story. Only when I lost my chance to eat the meat filling could I savor the skin to the utmost.,何况在我没有吃到包子肉馅的前提下，就是这个事实的前提下，我尝到了整个肉皮的这个滋味。
I would never have enjoyed the taste of skin and flavor of flour like that before.,肉皮的滋味，面粉的清香，在我以前是不可以这样足够地尝到了。
That is life.,人生就是这样子。
"As for myself, my regrets are linked with my special physical condition. ",嗯再说因为我的遗憾是因为我的特殊。
"And it is because of my special condition that I have won a lot of attention and support, as well as more tolerance of my waywardness.",也是因为我的特殊我受到了许多关注以及关爱，我的任性会被更多的人所体谅。
I have also received help from different corners of the society.,还有很多社会的力量在资助着我。
"And my ties with TnDao first began because some kind-hearted people and enterprises, who funded a traditional Chinese medicine institution, wanted to do research and treat my illness.",今天可以说一说就是和《听道》的结缘，也是因为一些社会的力量，一些企业，他们就资助着一个中医机构，会让我就是在尝试、研制，让我这个疾病能够克服的一种方案。
"We are still trying, and perhaps one day I can really walk on to this stage like a model.",我们正在尝试中，也许有一天，我真的可以走着猫步踏上这个舞台。
"And if I can't, that'll also be fine.",当然如果不走猫步也没有关系，呵呵。
Why?,因为为什么呢？
"Because I believe, whatever I look like, nothing will stop me smiling my chubby smile and posing gorgeously on this wheelchair.",因为我觉得像我这样的一种形象，我仍然可以带着我满脸的胶原蛋白，然后在这个轮椅上摆出漂亮的Pose。
"Once at school, I lost my chance to perform on the stage. ",尽管我的小时候没有上学校的舞台。
"But today, I manage to speak here on an even larger stage, and share with you my thoughts, my dreams and my strength. I'm in command of the room.",但是我今天上了一个更大的舞台，我可以用我的智慧、我的理想、我的彪悍甚至于我hold住全场。
Eating only the skin of Baozi is not so bad after all.,包子皮的人生并不是没有滋味的。
"But next time I eat a Baozi, I'll try to bite off the meat filling first. Won't it be better to never let regrets happen?",不过我想以后我在吃包子的时候，我一定会先把那个肉馅咬掉，因为这样可以避免遗憾的产生，岂不是更好。
Thank you!,谢谢大家！
"Good afternoon, everyone!",各位朋友，下午好！
"It's a special day of May 4, and I'd like to share with you something special in this special TnDao Talk in Beijing.",在5月4日这样一个不寻常的日子，在北京听道这样一个不寻常的讲坛。
I hope you and many other who love Chinese culture find my talk worthy and thoughtful.,我想跟大家分享一些不寻常的信息，想给在座的诸位，也想给每一个热爱中国文化的人，带来一丝振奋。
"It's about Chinese characters, and the comparison between Chinese characters and the alphabetic writing.",这些信息是关于汉字，关于汉字和字母的对比。
We are all familiar with Chinese characters and the alphabetic writing.,汉字和字母这两个词大家都很熟悉。
They aroused a century-old academic debate among scholars and thinkers in modern China.,但是由它们构成的问题，却引发了中国近代史上最大的一次学术论证，挑战了无数最有智慧的学者和思想家，一百年间悬而未解。
And it's about whether we should discard Chinese characters and replace them with the alphabetic writing.,这个问题就是中国人要不要废弃汉字改用字母。
"There are 3,000 or so languages globally, all being alphabetic based on letters, with Chinese characters as the only exception.",全世界大约有三千多种文字，全部是以字母为基础的拼音文字，汉字是唯一的例外。
"Of the Chinese culture circle, North Korea abandoned Chinese characters; Japan and South Korea only kept a few in use; the Vietnam who has been using Chinese characters for 2,000 years turned to alphabetic writing in 1945.",汉文化圈的几个主要国家，朝鲜弃用汉字，日本和韩国仅仅保留少量少数的汉字，连使用汉字达两千年之久的越南也在1945年废弃汉字转用字母。
"Western academics hold that primitive writing evolved to ideo-phonographic writing and finally to alphabetic writing, the utmost stage of its development.",西方学术界一个普遍的观点是：原始文字经过意音文字进化到字母文字，达到文字发展的最高阶段。
"According to this theory, Chinese characters as ideo-phonographic writing in the lower stage of development should be discarded and will be replaced by Latin alphabet.",按照这种观点，汉字处于意音阶段是低级文字，应该废弃，未来一定会被拉丁字母所取代。
"Against this backdrop, the ferocious contention about Chinese characters and Latin alphabet took place three times over the past century, i.e. the May 4th Movement, early years of the new China, as well as the post-Cultural Revolution Movement.",在这样的背景下，汉字拉丁化的大争鸣在过去一百年发生了三次，分别是五四时期、建国初期和文革之后。
"During the May 4th period, Lu Xun and other advocators of the New Culture Movement saw Chinese characters as the root of cultural backwardness, and strongly supported the idea of abolishing Chinese characters.",五四时期，以鲁迅为代表的新文化运动的倡导者视汉字为中国文化落后的根源，强烈要求废除汉字。
"They were so determined and declared ""If we don't abolish Chinese characters, the whole country will decline and perish"".",甚至说出了“汉字不灭，中国必亡”的宣言。
"However, there are many people who stood on the other side, and oppose to shake or abolish the foundation of the Chinese nation.",但是，也有很多人认为汉字事关中华文明的根基不容动摇。
"Some scholars pointed out that the movement to abolish Chinese characters or replace them with Latin alphabet led by the theory of backward Chinese characters in the last 100 years was unprecedented in its duration, scale, and impact in the Chinese cultural history.",有学者指出，过去一百年在汉字落后论的理论指导之下，以废弃或取代汉字为目标的波澜壮阔的汉字拉丁化运动，其延续时间之长，其规模之大，其影响之深远，在中国文化史上是空前的。
"Unfortunately, Chinese characters are extraordinarily complex, and this grand debate didn't find the answer because there is no answer.",遗憾的是汉字的问题超乎想象的复杂，这场空前的大辩论也没有找到答案，因为没有答案。
"In 2009, Confucius Institute made a large documentary titled The 5,000-Year Chinese Characters, showing the whole world how splendid and grand the language is.",2009年，当孔子学院推出一套大型记录片《汉字五千年》，向全世界宣称汉字的伟大的时候。
"But when asked about the future of Chinese characters, they were hesitative and responded:"" We don't know.""",谈到汉字的明天，他们却只能说，我们谁都不知道。
Because there is no such thing as an answer.,因为没有答案。
"Teachers after teachers lecture our children in learning Chinese language, but none of them could tell them what really is the language; is it really inferior or backward or outdated.",千千万万个老师在教我们的孩子学习中文的时候，没有一个人能告诉我们的孩子中文、汉字到底是一种什么样的文字，这个文字是不是真的低级，是不是真的落后。
